REF_DATE,Active businesses,Closing businesses,Continuing businesses,Entrants,Exits,Opening businesses,Reopening businesses,Temporary closures
2022-06-01,926833.0,40215.0,884239.0,15784.0,13785.0,42834.0,27050.0,26430.0
2022-07-01,927742.0,43455.0,884605.0,17454.0,18538.0,44537.0,27083.0,24917.0
2022-08-01,928101.0,43796.0,884860.0,17057.0,15175.0,43871.0,26814.0,28621.0
2022-09-01,928848.0,42845.0,886965.0,15580.0,14802.0,42778.0,27198.0,28043.0
2022-10-01,928575.0,43924.0,886109.0,17031.0,16815.0,43202.0,26171.0,27109.0
2022-11-01,928187.0,42978.0,886638.0,16441.0,15225.0,42721.0,26280.0,27753.0
2022-12-01,930363.0,40710.0,888238.0,15845.0,14076.0,43033.0,27188.0,26634.0
2023-01-01,935128.0,41053.0,890005.0,16670.0,15021.0,43802.0,27132.0,26032.0
2023-02-01,934869.0,43403.0,891810.0,16207.0,14926.0,42599.0,26392.0,28477.0
2023-03-01,929764.0,44069.0,888996.0,15694.0,14272.0,39783.0,24089.0,29797.0
2023-04-01,928406.0,44694.0,883112.0,16313.0,15653.0,44810.0,28497.0,29041.0
2023-05-01,933072.0,42791.0,886533.0,17282.0,15045.0,47123.0,29841.0,27746.0
2023-06-01,935019.0,43224.0,889260.0,16929.0,15382.0,45506.0,28577.0,27842.0
2023-07-01,934056.0,41857.0,894240.0,14011.0,14830.0,40662.0,26651.0,27027.0
2023-08-01,935241.0,43127.0,891212.0,16445.0,14954.0,44528.0,28083.0,28173.0
2023-09-01,933914.0,46176.0,890389.0,16948.0,17011.0,44059.0,27111.0,29165.0
2023-10-01,935002.0,43109.0,891143.0,15906.0,14256.0,44024.0,28118.0,28853.0
2023-11-01,936392.0,41395.0,893827.0,15355.0,15068.0,42759.0,27404.0,26327.0
2023-12-01,936139.0,43378.0,892439.0,16846.0,15218.0,44384.0,27538.0,28160.0
2024-01-01,939023.0,43331.0,893116.0,16385.0,14705.0,45211.0,28826.0,28626.0
2024-02-01,939471.0,43924.0,895254.0,16224.0,14460.0,44306.0,28082.0,29464.0
2024-03-01,939631.0,43225.0,895575.0,15580.0,14528.0,43565.0,27985.0,28697.0
2024-04-01,938640.0,44386.0,894072.0,16511.0,15065.0,44537.0,28026.0,29321.0
2024-05-01,939269.0,44432.0,895053.0,16477.0,15445.0,45034.0,28557.0,28987.0
2024-06-01,936953.0,46100.0,893252.0,15730.0,15528.0,44142.0,28412.0,30572.0
2024-07-01,937892.0,41834.0,895164.0,13211.0,14971.0,43989.0,30778.0,26863.0
2024-08-01,936971.0,45943.0,892320.0,17042.0,16251.0,44816.0,27774.0,29692.0
2024-09-01,937169.0,46286.0,891326.0,15007.0,14624.0,46067.0,31060.0,31662.0
2024-10-01,937636.0,45613.0,891800.0,15073.0,15867.0,45538.0,30465.0,29746.0
2024-11-01,936396.0,47363.0,890518.0,15768.0,14870.0,46329.0,30561.0,32493.0
2024-12-01,938261.0,47420.0,887411.0,17404.0,16727.0,48917.0,31513.0,30693.0
2025-01-01,938258.0,44965.0,893271.0,15089.0,19663.0,44507.0,29418.0,25302.0
2025-02-01,938326.0,44163.0,894114.0,14199.0,16603.0,44029.0,29830.0,27560.0
2025-03-01,938170.0,44481.0,893735.0,14540.0,17634.0,44419.0,29879.0,26847.0
2025-04-01,937780.0,44155.0,893366.0,16694.0,16705.0,44574.0,27880.0,27450.0
2025-05-01,937850.0,45224.0,893240.0,14955.0,16394.0,45087.0,30132.0,28830.0
2025-06-01,938630.0,43856.0,894022.0,14879.0,15695.0,44690.0,29811.0,28161.0
2025-07-01,938561.0,46514.0,892615.0,16639.0,19384.0,48009.0,31370.0,27130.0
2025-08-01,938539.0,45056.0,893718.0,13169.0,15837.0,44423.0,31254.0,29219.0
2025-09-01,939754.0,43993.0,894571.0,15811.0,17626.0,45336.0,29525.0,26367.0
2025-10-01,937976.0,46131.0,893807.0,15404.0,17096.0,42226.0,26822.0,29035.0
2025-11-01,938515.0,45661.0,892185.0,14661.0,17537.0,46404.0,31743.0,28124.0
2025-12-01,937801.0,45807.0,891607.0,15218.0,,46205.0,30987.0,
2026-01-01,936326.0,47075.0,889960.0,14846.0,,46303.0,31457.0,
2026-02-01,936065.0,46829.0,889087.0,15254.0,,46899.0,31645.0,
2026-03-01,935719.0,47578.0,888278.0,16911.0,,47491.0,30580.0,
2026-04-01,937066.0,45566.0,890088.0,15142.0,,47371.0,32229.0,
2026-05-01,936959.0,46858.0,890878.0,14645.0,,46122.0,31477.0,
